Species,VGNC ID (gene),Approved symbol,Approved name,Human gene ortholog HGNC ID
Cat,VGNC:84027,H1-0,H1.0 linker histone,HGNC:4714
Cat,VGNC:109855,H1-1,"H1.1 linker histone, cluster member",HGNC:4715
Cat,VGNC:109857,H1-2,"H1.2 linker histone, cluster member",HGNC:4716
Cat,VGNC:109856,H1-3,"H1.3 linker histone, cluster member",HGNC:4717
Cat,VGNC:109858,H1-4,"H1.4 linker histone, cluster member",HGNC:4718
Cat,VGNC:109860,H1-5,"H1.5 linker histone, cluster member",HGNC:4719
Cat,VGNC:109859,H1-6,"H1.6 linker histone, cluster member",HGNC:4720
Cat,VGNC:109861,H1-7,H1.7 linker histone,HGNC:24893
Cat,VGNC:109862,H1-8,H1.8 linker histone,HGNC:18463
Cat,VGNC:109863,H1-9,H1.9 linker histone,HGNC:30616
Cat,VGNC:109865,H1-10,H1.10 linker histone,HGNC:4722
Cat,VGNC:109864,H1-12,"H1.12 linker histone, cluster member",HGNC:19163
,,,,
Cat,VGNC:109870,H2AC1,H2A clustered histone 1,HGNC:18729
Cat,VGNC:109871,H2AC2,H2A clustered histone 2,HGNC:18720
Cat,VGNC:109869,H2AC4,H2A clustered histone 4,HGNC:4734
Cat,VGNC:109873,H2AC5,H2A clustered histone 5,HGNC:4728
Cat,VGNC:109874,H2AC6,H2A clustered histone 6,HGNC:4733
Cat,VGNC:109872,H2AC7,H2A clustered histone 7,HGNC:4729
Cat,VGNC:109875,H2AC8,H2A clustered histone 8,HGNC:4724
Cat,VGNC:109877,H2AC9,H2A clustered histone 9,HGNC:18805
Cat,VGNC:109876,H2AC10,H2A clustered histone 10,HGNC:4732
Cat,VGNC:109878,H2AC11P,H2A clustered histone 11,HGNC:4737
Cat,VGNC:109880,H2AC12,H2A clustered histone 12,HGNC:13671
Cat,VGNC:109879,H2AC13,H2A clustered histone 13,HGNC:4725
Cat,VGNC:109883,H2AC14,H2A clustered histone 14,HGNC:4727
Cat,VGNC:109881,H2AC15,H2A clustered histone 15,HGNC:4726
Cat,VGNC:109882,H2AC16,H2A clustered histone 16,HGNC:4730
