Species,VGNC ID (gene),Approved symbol,Approved name,Human gene ortholog HGNC ID
Macaque,VGNC:109666,H1-0,H1.0 linker histone,HGNC:4714
Macaque,VGNC:109665,H1-1,"H1.1 linker histone, cluster member",HGNC:4715
Macaque,VGNC:109667,H1-2,"H1.2 linker histone, cluster member",HGNC:4716
Macaque,VGNC:109745,H1-3,"H1.3 linker histone, cluster member",HGNC:4717
Macaque,VGNC:109744,H1-4,"H1.4 linker histone, cluster member",HGNC:4718
Macaque,VGNC:109746,H1-5,"H1.5 linker histone, cluster member",HGNC:4719
Macaque,VGNC:109749,H1-6,"H1.6 linker histone, cluster member",HGNC:4720
Macaque,VGNC:109747,H1-7,H1.7 linker histone,HGNC:24893
Macaque,VGNC:109748,H1-8,H1.8 linker histone,HGNC:18463
Macaque,VGNC:109750,H1-9,H1.9 linker histone,HGNC:30616
Macaque,VGNC:109751,H1-10,H1.10 linker histone,HGNC:4722
,,,,
Macaque,VGNC:109672,H2AC1,H2A clustered histone 1,HGNC:18729
Macaque,VGNC:109671,H2AC2P,"H2A clustered histone 2, pseudogene",HGNC:18720
Macaque,VGNC:109673,H2AC3P,"H2A clustered histone 3, pseudogene",HGNC:18804
Macaque,VGNC:109675,H2AC4,H2A clustered histone 4,HGNC:4734
Macaque,VGNC:109674,H2AC5P,"H2A clustered histone 5, pseudogene",HGNC:4728
Macaque,VGNC:109676,H2AC6,H2A clustered histone 6,HGNC:4733
Macaque,VGNC:109677,H2AC7,H2A clustered histone 7,HGNC:4729
Macaque,VGNC:109678,H2AC8,H2A clustered histone 8,HGNC:4724
Macaque,VGNC:109679,H2AC10,H2A clustered histone 10,HGNC:4732
Macaque,VGNC:109681,H2AC11,H2A clustered histone 11,HGNC:4737
Macaque,VGNC:109682,H2AC12,H2A clustered histone 12,HGNC:13671
Macaque,VGNC:109680,H2AC13,H2A clustered histone 13,HGNC:4725
Macaque,VGNC:109685,H2AC14,H2A clustered histone 14,HGNC:4727
Macaque,VGNC:109683,H2AC15,H2A clustered histone 15,HGNC:4726
Macaque,VGNC:109684,H2AC16,H2A clustered histone 16,HGNC:4730
Macaque,VGNC:109686,H2AC17,H2A clustered histone 17,HGNC:4735
Macaque,VGNC:109688,H2AC18,H2A clustered histone 18,HGNC:4736
Macaque,VGNC:109687,H2AC19,H2A clustered histone 19,HGNC:29668
Macaque,VGNC:109690,H2AC20,H2A clustered histone 20,HGNC:4738
