Species,VGNC ID (gene),Approved symbol,Approved name,Human gene ortholog HGNC ID
Dog,VGNC:83740,H1-0,H1.0 linker histone,HGNC:4714
Dog,VGNC:83712,H1-1,"H1.1 linker histone, cluster member",HGNC:4715
Dog,VGNC:83717,H1-2,"H1.2 linker histone, cluster member",HGNC:4716
Dog,VGNC:83763,H1-3,"H1.3 linker histone, cluster member",HGNC:4717
Dog,VGNC:83756,H1-4,"H1.4 linker histone, cluster member",HGNC:4718
Dog,VGNC:83731,H1-5,"H1.5 linker histone, cluster member",HGNC:4719
Dog,VGNC:83719,H1-6,"H1.6 linker histone, cluster member",HGNC:4720
Dog,VGNC:83735,H1-7,H1.7 linker histone,HGNC:24893
Dog,VGNC:83738,H1-8,H1.8 linker histone,HGNC:18463
Dog,VGNC:95371,H1-9,H1.9 linker histone,HGNC:30616
Dog,VGNC:83707,H1-10,H1.10 linker histone,HGNC:4722
Dog,VGNC:95373,H1-12,"H1.12 linker histone, cluster member",HGNC:19163
,,,,
Dog,VGNC:83710,H2AC1,H2A clustered histone 1,HGNC:18729
Dog,VGNC:83713,H2AC2,H2A clustered histone 2,HGNC:18720
Dog,VGNC:83766,H2AC4,H2A clustered histone 4,HGNC:4734
Dog,VGNC:83715,H2AC5,H2A clustered histone 5,HGNC:4728
Dog,VGNC:83720,H2AC6,H2A clustered histone 6,HGNC:4733
Dog,VGNC:95372,H2AC7,H2A clustered histone 7,HGNC:4729
Dog,VGNC:83758,H2AC8,H2A clustered histone 8,HGNC:4724
Dog,VGNC:83770,H2AC9,H2A clustered histone 9,HGNC:18805
Dog,VGNC:83775,H2AC10,H2A clustered histone 10,HGNC:4732
Dog,VGNC:83722,H2AC11,H2A clustered histone 11,HGNC:4737
Dog,VGNC:83725,H2AC12,H2A clustered histone 12,HGNC:13671
Dog,VGNC:83724,H2AC13,H2A clustered histone 13,HGNC:4725
Dog,VGNC:83742,H2AC14,H2A clustered histone 14,HGNC:4727
Dog,VGNC:83759,H2AC15,H2A clustered histone 15,HGNC:4726
