Species,VGNC ID (gene),Approved symbol,Approved name,Human gene ortholog HGNC ID
Chimpanzee,VGNC:14352,H1-0,H1.0 linker histone,HGNC:4714
Chimpanzee,VGNC:14359,H1-1,"H1.1 linker histone, cluster member",HGNC:4715
Chimpanzee,VGNC:14360,H1-2,"H1.2 linker histone, cluster member",HGNC:4716
Chimpanzee,VGNC:14368,H1-3,"H1.3 linker histone, cluster member",HGNC:4717
Chimpanzee,VGNC:14369,H1-4,"H1.4 linker histone, cluster member",HGNC:4718
Chimpanzee,VGNC:14362,H1-5,"H1.5 linker histone, cluster member",HGNC:4719
Chimpanzee,VGNC:14371,H1-6,"H1.6 linker histone, cluster member",HGNC:4720
Chimpanzee,VGNC:14411,H1-7,H1.7 linker histone,HGNC:24893
Chimpanzee,VGNC:14868,H1-8,H1.8 linker histone,HGNC:18463
Chimpanzee,VGNC:95365,H1-9,H1.9 linker histone,HGNC:30616
Chimpanzee,VGNC:14242,H1-10,H1.10 linker histone,HGNC:4722
,,,,
Chimpanzee,VGNC:14358,H2AC1,H2A clustered histone 1,HGNC:18729
Chimpanzee,VGNC:109584,H2AC2P,"H2A clustered histone 2, pseudogene",HGNC:18720
Chimpanzee,VGNC:109585,H2AC3P,"H2A clustered histone 3, pseudogene",HGNC:18804
Chimpanzee,VGNC:83628,H2AC4,H2A clustered histone 4,HGNC:4734
Chimpanzee,VGNC:83631,H2AC5P,"H2A clustered histone 5, pseudogene",HGNC:4728
Chimpanzee,VGNC:83635,H2AC6,H2A clustered histone 6,HGNC:4733
Chimpanzee,VGNC:83640,H2AC7,H2A clustered histone 7,HGNC:4729
Chimpanzee,VGNC:14372,H2AC8,H2A clustered histone 8,HGNC:4724
Chimpanzee,VGNC:95366,H2AC9P,"H2A clustered histone 9, pseudogene",HGNC:18805
Chimpanzee,VGNC:83647,H2AC10,H2A clustered histone 10,HGNC:4732
Chimpanzee,VGNC:83651,H2AC11,H2A clustered histone 11,HGNC:4737
Chimpanzee,VGNC:83655,H2AC12,H2A clustered histone 12,HGNC:13671
Chimpanzee,VGNC:83654,H2AC13,H2A clustered histone 13,HGNC:4725
Chimpanzee,VGNC:83658,H2AC14,H2A clustered histone 14,HGNC:4727
Chimpanzee,VGNC:83660,H2AC15,H2A clustered histone 15,HGNC:4726
Chimpanzee,VGNC:83664,H2AC16,H2A clustered histone 16,HGNC:4730
Chimpanzee,VGNC:83669,H2AC17,H2A clustered histone 17,HGNC:4735
Chimpanzee,VGNC:83676,H2AC18,H2A clustered histone 18,HGNC:4736
Chimpanzee,VGNC:83679,H2AC19,H2A clustered histone 19,HGNC:29668
Chimpanzee,VGNC:14365,H2AC20,H2A clustered histone 20,HGNC:4738
Chimpanzee,VGNC:14364,H2AC21,H2A clustered histone 21,HGNC:20508
Chimpanzee,VGNC:83685,H2AC25,H2A clustered histone 25,HGNC:20507
Chimpanzee,VGNC:83681,H2AZ1,H2A.Z variant histone 1,HGNC:4741
